Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,3.49,3.53,3.16,3.43,4055400,3.43
2014-02-24,3.63,3.63,3.49,3.52,1228800,3.52
2014-02-21,3.54,3.64,3.51,3.58,269800,3.58
2014-02-20,3.45,3.54,3.45,3.53,571500,3.53
2014-02-19,3.50,3.58,3.40,3.49,357700,3.49
2014-02-18,3.56,3.61,3.45,3.50,557300,3.50
2014-02-14,3.50,3.55,3.45,3.55,812200,3.55
2014-02-13,3.33,3.54,3.33,3.54,826600,3.54
2014-02-12,3.27,3.42,3.27,3.40,721100,3.40
2014-02-11,3.26,3.30,3.20,3.27,3353300,3.27
2014-02-10,3.25,3.45,3.09,3.20,6044800,3.20
2014-02-07,2.19,2.59,2.19,2.51,304000,2.51
2014-02-06,2.00,2.19,2.00,2.19,164200,2.19
2014-02-05,2.01,2.02,1.96,2.00,182800,2.00
2014-02-04,2.00,2.02,1.98,2.01,134900,2.01
2014-02-03,2.00,2.02,1.96,2.00,62400,2.00
2014-01-31,1.98,2.06,1.95,2.00,277900,2.00
2014-01-30,2.05,2.05,1.99,2.00,209500,2.00
2014-01-29,2.09,2.12,1.95,2.01,152300,2.01
2014-01-28,1.89,2.05,1.89,2.05,290600,2.05
2014-01-27,1.69,1.92,1.69,1.91,191600,1.91
2014-01-24,1.64,1.76,1.64,1.75,78000,1.75
2014-01-23,1.62,1.75,1.62,1.71,60100,1.71
2014-01-22,1.51,1.61,1.51,1.61,33100,1.61
2014-01-21,1.60,1.60,1.52,1.55,1402500,1.55
2014-01-20,1.45,1.60,1.45,1.60,12500,1.60
2014-01-17,1.53,1.56,1.50,1.55,50900,1.55
2014-01-16,1.60,1.60,1.50,1.52,60600,1.52
2014-01-15,1.36,1.55,1.35,1.55,116700,1.55
2014-01-14,1.30,1.41,1.29,1.41,154200,1.41
2014-01-13,1.38,1.38,1.29,1.29,75300,1.29
2014-01-10,1.34,1.37,1.32,1.35,31900,1.35
2014-01-09,1.40,1.40,1.32,1.35,86200,1.35
2014-01-08,1.50,1.50,1.37,1.39,140000,1.39
2014-01-07,1.54,1.55,1.44,1.44,76500,1.44
2014-01-06,1.47,1.49,1.42,1.49,36700,1.49
2014-01-03,1.46,1.47,1.42,1.42,68900,1.42
2014-01-02,1.50,1.51,1.47,1.47,269500,1.47
2013-12-31,1.52,1.52,1.48,1.51,47900,1.51
2013-12-30,1.54,1.58,1.48,1.50,50200,1.50
2013-12-27,1.58,1.61,1.47,1.51,51300,1.51
2013-12-24,1.52,1.58,1.52,1.58,12200,1.58
2013-12-23,1.55,1.55,1.45,1.53,44400,1.53
2013-12-20,1.57,1.60,1.50,1.50,56800,1.50
2013-12-19,1.64,1.64,1.55,1.57,73400,1.57
2013-12-18,1.65,1.73,1.60,1.63,45800,1.63
2013-12-17,1.69,1.69,1.64,1.65,55800,1.65
2013-12-16,1.60,1.70,1.60,1.65,86200,1.65
2013-12-13,1.60,1.80,1.53,1.55,194100,1.55
2013-12-12,1.40,1.54,1.40,1.47,33100,1.47
2013-12-11,1.50,1.51,1.45,1.46,38200,1.46
2013-12-10,1.50,1.53,1.47,1.48,34400,1.48
2013-12-09,1.50,1.51,1.44,1.49,14700,1.49
2013-12-06,1.52,1.52,1.42,1.43,47200,1.43
2013-12-05,1.42,1.54,1.42,1.51,17800,1.51
2013-12-04,1.45,1.50,1.40,1.47,118500,1.47
2013-12-03,1.62,1.70,1.30,1.41,128700,1.41
2013-12-02,1.72,1.81,1.65,1.68,86200,1.68
2013-11-29,1.87,1.87,1.63,1.80,204500,1.80
2013-11-28,1.82,2.24,1.82,1.95,582500,1.95
